dataset,designation,prob,label,Dur_hr,Depth_ppm,P_days,Rp_Re,Teff_K,Rstar_Rsun
KOI,K03102.01,0.9514563106796117,1.0,1.81,294.2,9.3210841,0.61,3773.0,0.35
KOI,K00898.01,0.9514563106796117,1.0,2.4517,1897.8,9.7704486,2.23,3906.0,0.509
KOI,K01422.04,0.9514563106796117,1.0,3.651,983.0,63.3354719,1.18,3526.0,0.383
KOI,K07706.01,0.9514563106796117,1.0,2.1372,607.9,42.049523793,1.19,4281.0,0.48
KOI,K00605.01,0.9514563106796117,1.0,1.8289,936.8,2.628117322,1.77,3939.0,0.557
KOI,K01430.02,0.9514563106796117,1.0,2.0831,908.9,22.92886314,2.08,4463.0,0.611
KOI,K00250.04,0.9514563106796117,1.0,1.9033,1537.7,46.82767725,2.13,3879.0,0.537
KOI,K00248.01,0.9514563106796117,1.0,2.5418,1765.9,7.203855862,2.25,3834.0,0.539
KOI,K00947.01,0.9514563106796117,1.0,3.6567,1585.1,28.59914031,1.83,3755.0,0.461
KOI,K02031.01,0.9514563106796117,1.0,1.9254,637.3,9.30413878,1.67,4458.0,0.658
KOI,K00156.03,0.9514563106796117,1.0,2.8971,1430.8,11.776132317,2.08,3980.0,0.54
KOI,K02256.01,0.9514563106796117,1.0,2.7186,1198.6,10.71253475,2.02,4175.0,0.544
KOI,K00156.02,0.9514563106796117,1.0,2.3683,358.7,5.188563677,1.0,3980.0,0.54
KOI,K01833.03,0.9514563106796117,1.0,1.622,586.7,5.70940795,1.51,4402.0,0.572
KOI,K02179.02,0.9514563106796117,1.0,1.1102,613.1,2.732767897,1.42,3825.0,0.524
KOI,K00719.01,0.9514563106796117,1.0,1.5501,577.6,9.034190783,1.8,4499.0,0.639
KOI,K01058.01,0.9514563106796117,0.0,0.9361,536.7,5.670155713,5.85,3337.0,0.183
KOI,K00870.01,0.9514563106796117,1.0,2.3254,961.4,5.912273234,1.73,4072.0,0.57
KOI,K00877.03,0.9514563106796117,1.0,2.3734,439.0,20.83762895,1.42,4261.0,0.633
KOI,K00610.01,0.9514563106796117,1.0,2.6588,983.2,14.28228147,1.82,4102.0,0.595
KOI,K00870.02,0.9514563106796117,1.0,2.8606,881.3,8.98581901,1.65,4072.0,0.57
KOI,K02626.01,0.9514563106796117,1.0,4.307,913.3,38.0970717,1.58,3554.0,0.398
KOI,K00248.03,0.9514563106796117,1.0,1.5997,852.8,2.576571021,1.57,3834.0,0.539
KOI,K04987.01,0.9514563106796117,0.0,3.549,731.0,12.5748872,1.03,3552.0,0.387
KOI,K01900.01,0.9514563106796117,1.0,2.1397,430.1,5.18498961,1.15,4325.0,0.56
KOI,K00448.01,0.9514563106796117,1.0,2.6446,1155.9,10.13958818,1.68,3893.0,0.5
KOI,K00952.04,0.9514563106796117,1.0,1.6776,614.1,2.896005211,1.23,3731.0,0.498
KOI,K01024.01,0.9514563106796117,1.0,1.8923,820.1,5.747711909,1.86,4252.0,0.632
KOI,K00952.03,0.9514563106796117,1.0,3.3002,1925.1,22.78078241,2.17,3731.0,0.498
KOI,K01427.01,0.9514563106796117,1.0,1.9588,599.7,2.613020421,1.5,3883.0,0.517
KOI,K02130.01,0.9514563106796117,1.0,2.309,871.5,16.85592593,1.7,3967.0,0.587
KOI,K00250.03,0.9514563106796117,1.0,1.8717,507.0,3.543919702,1.21,3879.0,0.537
KOI,K02650.02,0.9514563106796117,1.0,1.716,359.3,7.05429483,1.0,3765.0,0.521
KOI,K01833.02,0.9514563106796117,1.0,1.4346,1175.0,7.68433346,2.58,4402.0,0.572
KOI,K01408.01,0.9514563106796117,1.0,3.3094,510.6,14.53410833,1.36,3957.0,0.553
KOI,K02057.01,0.9514563106796117,1.0,2.1604,401.2,5.94565516,1.12,3974.0,0.564
KOI,K07622.01,0.9514563106796117,0.0,2.065,627.1,36.2671673,1.5,4264.0,0.62
KOI,K00663.01,0.9514563106796117,1.0,1.8559,536.7,2.755637216,1.37,4121.0,0.553
KOI,K06925.01,0.9514563106796117,1.0,2.162,331.0,12.9489256,0.94,3867.0,0.525
KOI,K01266.01,0.9514563106796117,1.0,3.9908,915.6,11.41926141,1.48,3823.0,0.492
KOI,K01427.02,0.9514563106796117,1.0,2.057,221.0,4.88446644,0.84,3883.0,0.517
KOI,K00314.03,0.9514563106796117,1.0,2.0138,137.6,10.31282204,0.59,3846.0,0.503
KOI,K01874.02,0.9514563106796117,1.0,2.1362,505.5,7.41634701,1.24,4156.0,0.545
KOI,K01940.01,0.9514563106796117,1.0,1.5929,884.7,10.99470891,1.71,4302.0,0.586
