dataset,designation,prob,label,Dur_hr,Depth_ppm,P_days,Rp_Re,Teff_K,Rstar_Rsun
TOI,700.02,0.9642857142857143,1.0,3.3650101,737.5519387,37.4236838,1.3296571,3482.0,0.419457
TOI,7164.01,0.9642857142857143,0.0,4.735,1432.0,736.5528811,3.13923,5659.0,0.86
TOI,2094.01,0.9642857142857143,1.0,1.09889,1844.6985474,18.7931749,1.7151271,3457.0,0.376775
TOI,1806.01,0.9642857142857143,1.0,2.3438166,4955.304292,15.1512051,2.8411799,3272.0,0.401575
TOI,6622.01,0.9642857142857143,1.0,7.424,5180.0,37.8575614,7.35774,5980.0,1.17
TOI,791.01,0.9642857142857143,1.0,12.1948293,5057.6776282,139.3048512,10.4668171,6572.0,1.42962
TOI,791.02,0.9642857142857143,1.0,11.576689,6356.9944677,928.0455814,12.0672714,6572.0,1.42962
TOI,2120.01,0.9642857142857143,1.0,1.014374,8567.3390223,5.7998189,2.6346124,3179.0,0.240233
TOI,805.01,0.9642857142857143,1.0,1.212675,1948.1405783,4.1177649,1.276147,3376.0,0.281129
TOI,4459.01,0.9642857142857143,1.0,1.846,11890.0,5.7475343,6.43097,3750.0,0.58
TOI,1633.01,0.9642857142857143,,2.1406837,3430.7762638,12.1582804,1.9160277,3429.0,0.3232
TOI,7309.01,0.9642857142857143,1.0,2.036,14454.0,7.7561532,5.98246,3462.0,0.44
TOI,2525.01,0.9642857142857143,1.0,6.4129373,6473.602151,23.3418536,9.7267129,4944.0,0.824284
TOI,1227.01,0.9642857142857143,1.0,4.0586418,20690.6684294,27.3613778,6.4522449,3050.0,0.44128
TOI,6644.01,0.9642857142857143,1.0,5.591,2711.0,42.7305626,4.03815,5247.0,0.83
TOI,5713.01,0.9642857142857143,1.0,1.714349,3992.4372644,10.4419896,1.8605473,3271.0,0.292425
TOI,5598.01,0.9642857142857143,1.0,1.878,16707.0,6.2948747,6.67951,3584.0,0.53
TOI,7440.01,0.9642857142857143,1.0,4.571,22876.0,34.0796886,9.39807,4517.4,0.66
TOI,7249.01,0.9642857142857143,1.0,1.637,29537.0,6.0387706,6.86956,3374.0,0.41
TOI,5555.01,0.9642857142857143,1.0,2.3059589,3192.1429439,32.9373717,2.5336294,3464.0,0.444516
TOI,4632.01,0.9642857142857143,1.0,4.9925509,1697.0188103,63.1448519,2.8828549,4152.0,0.702045
TOI,1080.01,0.9642857142857143,1.0,1.0112593,3680.7544436,3.9652485,1.2305102,3296.0,0.199988
TOI,2096.02,0.9642857142857143,1.0,1.4551851,5857.0164704,6.3878202,2.041471,3285.0,0.247331
TOI,6599.01,0.9625292740046838,1.0,0.9395169,2594.7383621,2.2059167,1.0369208,3087.0,0.202097
TOI,5738.02,0.9625292740046838,1.0,1.7666666,1744.4659966,28.5462089,2.8547322,3717.0,0.569914
TOI,1846.01,0.9625292740046838,1.0,1.4305142,1637.1984269,3.9306746,1.7902006,3512.0,0.411452
TOI,1847.01,0.9625292740046838,1.0,3.867,9890.0,35.4557945,8.9807,5076.0,0.83
TOI,6004.01,0.9625292740046838,1.0,1.8852042,1728.7453821,9.8786838,2.1083189,3759.27,0.460619
TOI,7066.01,0.9625292740046838,1.0,2.3705157,18389.5092472,13.2341261,7.3853255,5025.0,0.548929
TOI,6605.01,0.9625292740046838,1.0,3.98,14968.0,12.2981251,9.70951,5614.0,0.87
TOI,3785.01,0.9625292740046838,1.0,1.61,8200.0,4.6747218,4.73219,3502.0,0.5
TOI,7080.01,0.9625292740046838,1.0,6.446,7413.0,36.6892187,9.1862,6647.0,1.12
TOI,6997.01,0.9625292740046838,1.0,3.903,10730.0,16.179367,10.3462,5576.0,1.07
TOI,6998.01,0.9625292740046838,1.0,3.477,3817.0,27.035894,6.01419,4225.0,0.66
TOI,6056.01,0.9625292740046838,1.0,2.6691319,18253.753966,3.1420495,12.6079161,4996.0,0.877202
TOI,700.01,0.9625292740046838,1.0,1.3968229,2768.5212418,16.051106,2.5869212,3482.0,0.419457
TOI,700.04,0.9625292740046838,1.0,2.9558823,406.8232517,27.8096898,0.9491858,3482.0,0.419457
TOI,7011.01,0.9625292740046838,1.0,4.082,10061.0,19.394038,10.5887,5493.0,1.08
TOI,6047.01,0.9625292740046838,1.0,6.7307424,16749.4607119,2.0814345,14.7083576,5583.0,0.9697
TOI,5735.01,0.9625292740046838,1.0,0.8427764,1148.8773237,2.1208156,0.837844,3222.0,0.210908
TOI,5723.01,0.9625292740046838,1.0,6.1836278,12283.6633675,170.6465146,12.8504525,5695.0,1.14952
TOI,7006.01,0.9625292740046838,1.0,4.975,15569.0,51.9120896,9.69324,5437.0,0.86
TOI,789.01,0.9625292740046838,1.0,1.583301,862.2586997,5.4470648,1.1245064,3471.0,0.37114
TOI,789.02,0.9625292740046838,1.0,2.2669808,1208.7896248,12.9707041,1.3280332,3471.0,0.37114
TOI,789.03,0.9625292740046838,1.0,2.0067185,878.9302211,8.0432343,1.2872781,3471.0,0.37114
TOI,790.01,0.9625292740046838,1.0,11.8968751,1766.6170108,199.5779073,6.9936043,6988.0,1.4608001
TOI,5511.01,0.9625292740046838,1.0,1.205,11520.0,4.7174703,5.77392,3628.0,0.51
TOI,7019.01,0.9625292740046838,1.0,6.299,6743.0,48.2590904,7.87933,5936.0,0.85
TOI,7021.01,0.9625292740046838,1.0,8.483,5687.0,49.5355004,10.5617,6173.0,1.33
TOI,5756.01,0.9625292740046838,,0.99,23050.0,7.6408565,9.43925,3517.0,0.56
TOI,5757.01,0.9625292740046838,1.0,2.052,15640.0,32.6116713,11.6182,4626.0,0.84
TOI,813.01,0.9625292740046838,1.0,13.0330846,1217.6723245,83.8962434,7.2168832,5823.7,2.04354
TOI,806.01,0.9625292740046838,1.0,3.3787978,1306.4224091,21.9166429,2.2852898,4130.0,0.631609
TOI,5746.01,0.9625292740046838,0.0,3.4176443,20978.1367866,711.7642825,12.6338972,4661.56,0.732648
TOI,2294.01,0.9625292740046838,1.0,9.2318877,718.3774619,340.3877311,3.6888424,6424.0,1.27808
TOI,809.01,0.9625292740046838,,10.764682,645.283132,183.458919,3.379417,5804.3,1.30725
TOI,5737.01,0.9625292740046838,1.0,3.5107588,1327.1099723,19.4480946,2.3009285,3966.0,0.618273
TOI,1067.01,0.9625292740046838,1.0,2.4579197,14915.6943722,3.1316735,9.4995191,4351.0,0.76701
TOI,233.01,0.9625292740046838,1.0,2.0534143,2783.7905216,11.6700285,2.0205499,3644.0,0.380272
TOI,7031.01,0.9625292740046838,1.0,1.3192751,12254.9439752,1.7911016,7.0726104,3718.0,0.636647
TOI,5933.01,0.9625292740046838,1.0,1.245,11420.0,5.5901313,8.79073,4743.0,0.75
TOI,821.01,0.9625292740046838,,1.365217,2556.532346,13.823303,2.806009,3669.0,0.477
TOI,810.02,0.9625292740046838,1.0,11.1179142,314.2730564,90.8479191,2.6152426,5704.59,1.40065
TOI,1861.01,0.9625292740046838,1.0,6.5744451,8486.4050981,742.5142746,11.1888239,5490.0,1.06113
TOI,5542.01,0.9625292740046838,1.0,8.599,11171.0,75.1247037,13.8062,5392.9,1.27
TOI,1856.01,0.9625292740046838,0.0,7.338,11900.0,197.0336254,12.0713,5616.4,1.0
TOI,5650.01,0.9625292740046838,1.0,6.989,2540.0,34.2825595,5.84592,6145.0,1.19
TOI,5761.01,0.9625292740046838,,3.465,4120.0,19.5422056,5.05981,5221.0,0.77
TOI,1468.01,0.9625292740046838,1.0,1.7640717,2937.4953214,15.5324385,2.013576,3382.0,0.369306
